"","X","site","site.block","mean.L","var.L","qnorm.L","mean.T","var.T","qnorm.T","NH4","N.N","P","N.ST","per.N.AT","trap.accumulation.rate","N","per.N.ST","fragment.ID","chlA.ugcm2","zoox.per.cm2","AFDW.mg.cm2."
"1",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA1",6.275439896,1.060395895,6.6617
"2",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA2",6.027928644,0.67230701,6.6227
"3",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA3",6.216751635,0.938092454,10.0956
"4",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA4",6.824893165,0.995874985,12.1221
"5",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA5",8.369193382,0.940594442,8.7848
"6",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA7",5.387851051,0.630223843,6.9764
"7",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA8",1.423327906,0.596724712,7.6603
"8",1,"A",1,2099.87911062083,1473335.51683944,3928.11768633097,27.6364718066743,1.19073699891683,29.19,0.825,0.51,0.34,5.25222222222222,24.5922222222222,2.287115477,0.784025572,17.1855555555556,"PA9",6.669127037,0.727561349,7.8034
"9",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA29",14.61194027,2.160509179,13.2008
"10",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA30",7.538197377,1.523824282,8.449
