"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"2","PA0_PI_0_O2",173.78302,-0.00642000000000081,26.589,NA,"PA0","P. acuta","0",10,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","low",81.75,0.59,-0.00378780000000048,"0",0.000168071428570834,-0.00395587142857131,-0.174203512450847,NA
"3","PA10_PI_0_O2",173.640837142857,-0.00940857142857212,26.679,NA,"PA10","P. acuta","10",2,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","high",55.21,0.61,-0.005739228571429,"0",0.000168071428570834,-0.00590729999999983,-0.38518891505161,NA
"4","PA13_PI_0_O2",162.473965,-0.00806500000000021,26.7676666666667,NA,"PA13","P. acuta","13",3,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","high",55.7,0.6,-0.00483900000000013,"0",0.000168071428570834,-0.00500707142857096,-0.323616824826848,NA
"5","PA14_PI_0_O2",187.172085,-0.00428499999999972,26.6473333333333,NA,"PA14","P. acuta","14",8,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","high",41.83,0.61,-0.00261384999999983,"0",0.000168071428570834,-0.00278192142857066,-0.239419487039311,NA
"6","PA17_PI_0_O2",173.870123333333,-0.0097900000000003,26.441,NA,"PA17","P. acuta","17",9,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","high",73.9,0.6,-0.00587400000000018,"0",0.000168071428570834,-0.00604207142857102,-0.294336361878967,NA
"7","PA2_PI_0_O2",176.072705,-0.00880500000000048,26.5311666666667,NA,"PA2","P. acuta","2",5,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","low",51.95,0.59,-0.00519495000000028,"0",0.000168071428570834,-0.00536302142857112,-0.371643448370665,NA
"8","PA3_PI_0_O2",175.37818,-0.00818000000000012,26.71,NA,"PA3","P. acuta","3",4,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","low",36.37,0.6,-0.00490800000000007,"0",0.000168071428570834,-0.00507607142857091,-0.502443143878341,NA
"9","PA8_PI_0_O2",171.724065,-0.00506499999999931,26.653,NA,"PA8","P. acuta","8",7,0,26.8,2020-06-25 04:25:00,2020-06-25 04:40:00,"light","low",43.26,0.605,-0.00306432499999959,"0",0.000168071428570834,-0.00323239642857042,-0.268992767980895,NA
"11","PA0_PI_139_O2",188.765509047619,0.00996714285714174,26.165,NA,"PA0","P. acuta","0",10,139,26.8,2020-06-25 05:48:00,2020-06-25 06:04:00,"light","low",81.75,0.59,0.00588061428571363,"0",0.000376999999999768,0.00550361428571386,0.242360996068133,-1.07188955455558
"12","PA10_PI_139_O2",156.249926666667,0.00173999999999958,26.343,NA,"PA10","P. acuta","10",2,139,26.8,2020-06-25 05:48:00,2020-06-25 06:04:00,"light","high",55.21,0.61,0.00106139999999975,"0",0.000376999999999768,0.000684399999999978,0.0446266980619439,-1.93359935240019
"13","PA13_PI_139_O2",146.847525,0.00197500000000019,26.3573333333333,NA,"PA13","P. acuta","13",3,139,26.8,2020-06-25 05:48:00,2020-06-25 06:04:00,"light","high",55.7,0.6,0.00118500000000012,"0",0.000376999999999768,0.000808000000000348,0.0522226211849417,-1.88241121657665
"14","PA14_PI_139_O2",187.927035,0.00526499999999999,26.347,NA,"PA14","P. acuta","14",8,139,26.8,2020-06-25 05:48:00,2020-06-25 06:04:00,"light","high",41.83,0.61,0.00321164999999999,"0",0.000376999999999768,0.00283465000000022,0.24395744680853,-1.06723733039835
