PreSens Measurement Studio 2,3.0.1.1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
6/30/19,13:04:00,8,default,137241488,OXY_CH8,4.525,min,204.299,μmol/L,Humid,20.839,deg,121174,µV,26.603,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244468.81,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:01,8,default,137241488,OXY_CH8,4.542,min,204.336,μmol/L,Humid,20.839,deg,121167,µV,26.597,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244462.36,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:02,8,default,137241488,OXY_CH8,4.559,min,204.409,μmol/L,Humid,20.835,deg,121169,µV,26.597,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244457.15,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:03,8,default,137241488,OXY_CH8,4.575,min,204.354,μmol/L,Humid,20.838,deg,121169,µV,26.597,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244454.22,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:04,8,default,137241488,OXY_CH8,4.592,min,204.299,μmol/L,Humid,20.839,deg,121150,µV,26.603,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244451.33,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:05,8,default,137241488,OXY_CH8,4.609,min,204.336,μmol/L,Humid,20.839,deg,121163,µV,26.597,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244462.64,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:06,8,default,137241488,OXY_CH8,4.625,min,204.335,μmol/L,Humid,20.837,deg,121160,µV,26.603,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244461.72,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:07,8,default,137241488,OXY_CH8,4.642,min,204.353,μmol/L,Humid,20.836,deg,121152,µV,26.603,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244454.94,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:08,8,default,137241488,OXY_CH8,4.659,min,204.28,μmol/L,Humid,20.84,deg,121149,µV,26.603,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244464.9,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
6/30/19,13:04:09,8,default,137241488,OXY_CH8,4.675,min,204.318,μmol/L,Humid,20.84,deg,121148,µV,26.597,°C,1015,hPa,36.5,pmil,0,55.58,deg,20,°C,100,%a.s.,22.35,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,29.05,0,47.3,244435.08,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180709-025,6/18/19 6:15,0000-00,0,no battery,V
