fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark
PA39_PI_0_O2,PA39,P. acuta,39,2,0,26.8,12:24:00 PM,12:40:00 PM,light
PA40_PI_0_O2,PA40,P. acuta,40,4,0,26.8,12:24:00 PM,12:40:00 PM,light
PA43_PI_0_O2,PA43,P. acuta,43,5,0,26.8,12:24:00 PM,12:40:00 PM,light
PA45_PI_0_O2,PA45,P. acuta,45,8,0,26.8,12:24:00 PM,12:40:00 PM,light
PA47_PI_0_O2,PA47,P. acuta,47,9,0,26.8,12:24:00 PM,12:40:00 PM,light
PA48_PI_0_O2,PA48,P. acuta,48,6,0,26.8,12:24:00 PM,12:40:00 PM,light
PA53_PI_0_O2,PA53,P. acuta,53,1,0,26.8,12:24:00 PM,12:40:00 PM,light
PA54_PI_0_O2,PA54,P. acuta,54,10,0,26.8,12:24:00 PM,12:40:00 PM,light
BLANK5_PI_0_O2,BLANK5,P. acuta,BLANK,3,0,26.8,12:24:00 PM,12:40:00 PM,light
BLANK6_PI_0_O2,BLANK6,P. acuta,BLANK,7,0,26.8,12:24:00 PM,12:40:00 PM,light
PA39_PI_65.9_O2,PA39,P. acuta,20,2,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA40_PI_65.9_O2,PA40,P. acuta,23,4,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA43_PI_65.9_O2,PA43,P. acuta,24,5,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA45_PI_65.9_O2,PA45,P. acuta,25,8,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA47_PI_65.9_O2,PA47,P. acuta,29,9,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA48_PI_65.9_O2,PA48,P. acuta,30,6,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA53_PI_65.9_O2,PA53,P. acuta,33,1,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA54_PI_65.9_O2,PA54,P. acuta,34,10,65.9,26.8,12:56:00 PM,1:06:00 PM,light
BLANK5_PI_65.9_O2,BLANK5,P. acuta,BLANK,3,65.9,26.8,12:56:00 PM,1:06:00 PM,light
BLANK6_PI_65.9_O2,BLANK6,P. acuta,BLANK,7,65.9,26.8,12:56:00 PM,1:06:00 PM,light
PA39_PI_80_O2,PA39,P. acuta,20,2,80,26.8,1:13:00 PM,1:30:00 PM,light
PA40_PI_80_O2,PA40,P. acuta,23,4,80,26.8,1:13:00 PM,1:30:00 PM,light
PA43_PI_80_O2,PA43,P. acuta,24,5,80,26.8,1:13:00 PM,1:30:00 PM,light
PA45_PI_80_O2,PA45,P. acuta,25,8,80,26.8,1:13:00 PM,1:30:00 PM,light
PA47_PI_80_O2,PA47,P. acuta,29,9,80,26.8,1:13:00 PM,1:30:00 PM,light
PA48_PI_80_O2,PA48,P. acuta,30,6,80,26.8,1:13:00 PM,1:30:00 PM,light
PA53_PI_80_O2,PA53,P. acuta,33,1,80,26.8,1:13:00 PM,1:30:00 PM,light
PA54_PI_80_O2,PA54,P. acuta,34,10,80,26.8,1:13:00 PM,1:30:00 PM,light
BLANK5_PI_80_O2,BLANK5,P. acuta,BLANK,3,80,26.8,1:13:00 PM,1:30:00 PM,light
BLANK6_PI_80_O2,BLANK6,P. acuta,BLANK,7,80,26.8,1:13:00 PM,1:30:00 PM,light
PA39_PI_141_O2,PA39,P. acuta,20,2,141,26.8,1:37:00 PM,1:53:00 PM,light
PA40_PI_141_O2,PA40,P. acuta,23,4,141,26.8,1:37:00 PM,1:53:00 PM,light
PA43_PI_141_O2,PA43,P. acuta,24,5,141,26.8,1:37:00 PM,1:53:00 PM,light
PA45_PI_141_O2,PA45,P. acuta,25,8,141,26.8,1:37:00 PM,1:53:00 PM,light
PA47_PI_141_O2,PA47,P. acuta,29,9,141,26.8,1:37:00 PM,1:53:00 PM,light
PA48_PI_141_O2,PA48,P. acuta,30,6,141,26.8,1:37:00 PM,1:53:00 PM,light
PA53_PI_141_O2,PA53,P. acuta,33,1,141,26.8,1:37:00 PM,1:53:00 PM,light
PA54_PI_141_O2,PA54,P. acuta,34,10,141,26.8,1:37:00 PM,1:53:00 PM,light
BLANK5_PI_141_O2,BLANK5,P. acuta,BLANK,3,141,26.8,1:37:00 PM,1:53:00 PM,light
BLANK6_PI_141_O2,BLANK6,P. acuta,BLANK,7,141,26.8,1:37:00 PM,1:53:00 PM,light
PA39_PI_218_O2,PA39,P. acuta,20,2,218,26.8,2:06:00 PM,2:22:00 PM,light
PA40_PI_218_O2,PA40,P. acuta,23,4,218,26.8,2:06:00 PM,2:22:00 PM,light
PA43_PI_218_O2,PA43,P. acuta,24,5,218,26.8,2:06:00 PM,2:22:00 PM,light
PA45_PI_218_O2,PA45,P. acuta,25,8,218,26.8,2:06:00 PM,2:22:00 PM,light
PA47_PI_218_O2,PA47,P. acuta,29,9,218,26.8,2:06:00 PM,2:22:00 PM,light
PA48_PI_218_O2,PA48,P. acuta,30,6,218,26.8,2:06:00 PM,2:22:00 PM,light
PA53_PI_218_O2,PA53,P. acuta,33,1,218,26.8,2:06:00 PM,2:22:00 PM,light
PA54_PI_218_O2,PA54,P. acuta,34,10,218,26.8,2:06:00 PM,2:22:00 PM,light
BLANK5_PI_218_O2,BLANK5,P. acuta,BLANK,3,218,26.8,2:06:00 PM,2:22:00 PM,light
BLANK6_PI_218_O2,BLANK6,P. acuta,BLANK,7,218,26.8,2:06:00 PM,2:22:00 PM,light
PA39_PI_349_O2,PA39,P. acuta,20,2,349,26.8,2:32:00 PM,2:48:00 PM,light
PA40_PI_349_O2,PA40,P. acuta,23,4,349,26.8,2:32:00 PM,2:48:00 PM,light
PA43_PI_349_O2,PA43,P. acuta,24,5,349,26.8,2:32:00 PM,2:48:00 PM,light
PA45_PI_349_O2,PA45,P. acuta,25,8,349,26.8,2:32:00 PM,2:48:00 PM,light
PA47_PI_349_O2,PA47,P. acuta,29,9,349,26.8,2:32:00 PM,2:48:00 PM,light
PA48_PI_349_O2,PA48,P. acuta,30,6,349,26.8,2:32:00 PM,2:48:00 PM,light
PA53_PI_349_O2,PA53,P. acuta,33,1,349,26.8,2:32:00 PM,2:48:00 PM,light
PA54_PI_349_O2,PA54,P. acuta,34,10,349,26.8,2:32:00 PM,2:48:00 PM,light
BLANK5_PI_349_O2,BLANK5,P. acuta,BLANK,3,349,26.8,2:32:00 PM,2:48:00 PM,light
BLANK6_PI_349_O2,BLANK6,P. acuta,BLANK,7,349,26.8,2:32:00 PM,2:48:00 PM,light
PA39_PI_526_O2,PA39,P. acuta,20,2,526,26.8,2:57:00 PM,3:12:00 PM,light
PA40_PI_526_O2,PA40,P. acuta,23,4,526,26.8,2:57:00 PM,3:12:00 PM,light
PA43_PI_526_O2,PA43,P. acuta,24,5,526,26.8,2:57:00 PM,3:12:00 PM,light
PA45_PI_526_O2,PA45,P. acuta,25,8,526,26.8,2:57:00 PM,3:12:00 PM,light
PA47_PI_526_O2,PA47,P. acuta,29,9,526,26.8,2:57:00 PM,3:12:00 PM,light
PA48_PI_526_O2,PA48,P. acuta,30,6,526,26.8,2:57:00 PM,3:12:00 PM,light
PA53_PI_526_O2,PA53,P. acuta,33,1,526,26.8,2:57:00 PM,3:12:00 PM,light
PA54_PI_526_O2,PA54,P. acuta,34,10,526,26.8,2:57:00 PM,3:12:00 PM,light
BLANK5_PI_526_O2,BLANK5,P. acuta,BLANK,3,526,26.8,2:57:00 PM,3:12:00 PM,light
BLANK6_PI_526_O2,BLANK6,P. acuta,BLANK,7,526,26.8,2:57:00 PM,3:12:00 PM,light
PA39_PI_716_O2,PA39,P. acuta,20,2,716,26.8,3:30:00 PM,3:45:00 PM,light
PA40_PI_716_O2,PA40,P. acuta,23,4,716,26.8,3:30:00 PM,3:45:00 PM,light
PA43_PI_716_O2,PA43,P. acuta,24,5,716,26.8,3:30:00 PM,3:45:00 PM,light
PA45_PI_716_O2,PA45,P. acuta,25,8,716,26.8,3:30:00 PM,3:45:00 PM,light
PA47_PI_716_O2,PA47,P. acuta,29,9,716,26.8,3:30:00 PM,3:45:00 PM,light
PA48_PI_716_O2,PA48,P. acuta,30,6,716,26.8,3:30:00 PM,3:45:00 PM,light
PA53_PI_716_O2,PA53,P. acuta,33,1,716,26.8,3:30:00 PM,3:45:00 PM,light
PA54_PI_716_O2,PA54,P. acuta,34,10,716,26.8,3:30:00 PM,3:45:00 PM,light
BLANK5_PI_716_O2,BLANK5,P. acuta,BLANK,3,716,26.8,3:30:00 PM,3:45:00 PM,light
BLANK6_PI_716_O2,BLANK6,P. acuta,BLANK,7,716,26.8,3:30:00 PM,3:45:00 PM,light
PA39_PI_918_O2,PA39,P. acuta,20,2,918,26.8,3:55:00 PM,4:10:00 PM,light
PA40_PI_918_O2,PA40,P. acuta,23,4,918,26.8,3:55:00 PM,4:10:00 PM,light
PA43_PI_918_O2,PA43,P. acuta,24,5,918,26.8,3:55:00 PM,4:10:00 PM,light
PA45_PI_918_O2,PA45,P. acuta,25,8,918,26.8,3:55:00 PM,4:10:00 PM,light
PA47_PI_918_O2,PA47,P. acuta,29,9,918,26.8,3:55:00 PM,4:10:00 PM,light
PA48_PI_918_O2,PA48,P. acuta,30,6,918,26.8,3:55:00 PM,4:10:00 PM,light
PA53_PI_918_O2,PA53,P. acuta,33,1,918,26.8,3:55:00 PM,4:10:00 PM,light
PA54_PI_918_O2,PA54,P. acuta,34,10,918,26.8,3:55:00 PM,4:10:00 PM,light
BLANK5_PI_918_O2,BLANK5,P. acuta,BLANK,3,918,26.8,3:55:00 PM,4:10:00 PM,light
BLANK6_PI_918_O2,BLANK6,P. acuta,BLANK,7,918,26.8,3:55:00 PM,4:10:00 PM,light
