PreSens Measurement Studio 2,3.0.1.1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
7/4/19,11:53:00,6,default,651713401,OXY_CH6,11.386,min,105.253,μmol/L,Humid,25.688,deg,228441,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368786.55,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:01,6,default,651713401,OXY_CH6,11.402,min,104.955,μmol/L,Humid,25.723,deg,228806,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368804.63,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:02,6,default,651713401,OXY_CH6,11.419,min,104.658,μmol/L,Humid,25.758,deg,229146,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368791.44,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:03,6,default,651713401,OXY_CH6,11.436,min,104.404,μmol/L,Humid,25.788,deg,229493,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368791.23,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:04,6,default,651713401,OXY_CH6,11.453,min,104.048,μmol/L,Humid,25.833,deg,229920,µV,34.947,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368784.84,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:05,6,default,651713401,OXY_CH6,11.469,min,103.755,μmol/L,Humid,25.865,deg,230245,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368790.16,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:06,6,default,651713401,OXY_CH6,11.486,min,103.521,μmol/L,Humid,25.893,deg,230555,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368788.01,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:07,6,default,651713401,OXY_CH6,11.505,min,103.26,μmol/L,Humid,25.927,deg,230895,µV,34.947,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368793.19,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:08,6,default,651713401,OXY_CH6,11.52,min,103.028,μmol/L,Humid,25.952,deg,231147,µV,34.953,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368780.62,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
7/4/19,11:53:09,6,default,651713401,OXY_CH6,11.536,min,102.756,μmol/L,Humid,25.982,deg,231441,µV,34.959,°C,1017,hPa,36.5,pmil,0,55.72,deg,20,°C,100,%a.s.,22.42,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,56.77,1,57,368772.51,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180726-015,6/18/19 6:14,0000-00,0,no battery,V
