fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark,treatment,site.block,recovery.block
PA1_L_20_O2,PA1_L,P. acuta,1,2,L1,20,5:50:00 AM,7:02:00 AM,light,low,1,1
PA5_L_20_O2,PA5_L,P. acuta,5,5,L1,20,5:57:00 AM,7:07:00 AM,light,low,1,1
PA7_L_20_O2,PA7_L,P. acuta,7,4,L1,20,5:55:00 AM,7:06:00 AM,light,low,1,1
PA9_L_20_O2,PA9_L,P. acuta,9,6,L1,20,5:59:00 AM,7:09:00 AM,light,low,1,1
PA10_L_20_O2,PA10_L,P. acuta,10,10,L1,20,5:51:00 AM,7:03:00 AM,light,high,1,1
PA11_L_20_O2,PA11_L,P. acuta,11,3,L1,20,5:52:00 AM,7:03:00 AM,light,high,1,1
PA17_L_20_O2,PA17_L,P. acuta,17,7,L1,20,5:55:00 AM,7:06:00 AM,light,high,1,1
PA18_L_20_O2,PA18_L,P. acuta,18,9,L1,20,5:53:00 AM,7:04:00 AM,light,high,1,1
BLANK1_L_20_O2,BLANK1_L,P. acuta,BLANK,8,L1,20,5:57:00 AM,7:08:00 AM,light,BLANK,1,1
BLANK2_L_20_O2,BLANK2_L,P. acuta,BLANK,1,L1,20,5:53:00 AM,7:05:00 AM,light,BLANK,1,1
PA1_L_24_O2,PA1_L,P. acuta,1,2,L1,24,7:39:00 AM,8:50:00 AM,light,low,1,1
PA5_L_24_O2,PA5_L,P. acuta,5,5,L1,24,7:43:00 AM,8:53:00 AM,light,low,1,1
PA7_L_24_O2,PA7_L,P. acuta,7,4,L1,24,7:41:00 AM,8:53:00 AM,light,low,1,1
PA9_L_24_O2,PA9_L,P. acuta,9,6,L1,24,7:43:00 AM,8:54:00 AM,light,low,1,1
PA10_L_24_O2,PA10_L,P. acuta,10,10,L1,24,7:39:00 AM,8:48:00 AM,light,high,1,1
PA11_L_24_O2,PA11_L,P. acuta,11,3,L1,24,7:40:00 AM,8:50:00 AM,light,high,1,1
PA17_L_24_O2,PA17_L,P. acuta,17,7,L1,24,7:42:00 AM,8:54:00 AM,light,high,1,1
PA18_L_24_O2,PA18_L,P. acuta,18,9,L1,24,7:40:00 AM,8:51:00 AM,light,high,1,1
BLANK1_L_24_O2,BLANK1_L,P. acuta,BLANK,8,L1,24,7:41:00 AM,8:50:00 AM,light,BLANK,1,1
BLANK2_L_24_O2,BLANK2_L,P. acuta,BLANK,1,L1,24,7:41:00 AM,8:52:00 AM,light,BLANK,1,1
PA1_L_28_O2,PA1_L,P. acuta,5,2,L1,28,9:07:00 AM,10:18:00 AM,light,low,1,1
PA5_L_28_O2,PA5_L,P. acuta,6,5,L1,28,9:12:00 AM,10:23:00 AM,light,low,1,1
PA7_L_28_O2,PA7_L,P. acuta,7,4,L1,28,9:10:00 AM,10:21:00 AM,light,low,1,1
PA9_L_28_O2,PA9_L,P. acuta,9,6,L1,28,9:11:00 AM,10:23:00 AM,light,low,1,1
PA10_L_28_O2,PA10_L,P. acuta,10,10,L1,28,9:06:00 AM,10:18:00 AM,light,high,1,1
PA11_L_28_O2,PA11_L,P. acuta,11,3,L1,28,9:09:00 AM,10:20:00 AM,light,high,1,1
PA17_L_28_O2,PA17_L,P. acuta,13,7,L1,28,9:11:00 AM,10:22:00 AM,light,high,1,1
PA18_L_28_O2,PA18_L,P. acuta,14,9,L1,28,9:09:00 AM,10:19:00 AM,light,high,1,1
BLANK1_L_28_O2,BLANK1_L,P. acuta,BLANK,8,L1,28,9:08:00 AM,10:20:00 AM,light,BLANK,1,1
BLANK2_L_28_O2,BLANK2_L,P. acuta,BLANK,1,L1,28,9:10:00 AM,10:22:00 AM,light,BLANK,1,1
PA1_L_30_O2,PA1_L,P. acuta,5,2,L1,30,10:30:00 AM,11:42:00 AM,light,low,1,1
PA5_L_30_O2,PA5_L,P. acuta,6,5,L1,30,10:35:00 AM,11:45:00 AM,light,low,1,1
PA7_L_30_O2,PA7_L,P. acuta,7,4,L1,30,10:36:00 AM,11:47:00 AM,light,low,1,1
PA9_L_30_O2,PA9_L,P. acuta,9,6,L1,30,10:36:00 AM,11:47:00 AM,light,low,1,1
