"fragment.ID","date","light_dark","temp.Cat","mV","Tin","salinity.insitu","salinity.lab","temp.InSitu","TA","Sample.Type","X","pH"
"I1",20190626,"light",20,-66.2,21.25233333,35.74333333,36.44,26.8,2340.2884,"Initial",NA,8.05974665896171
"PA1_L",20190626,"light",20,-66.2,20.506,36.1,36.57,26.8,2312.37357,"Sample",NA,8.06135078485493
"PA5_L",20190626,"light",20,-71.4,20.242,35.95,36.49,26.8,2338.76834,"Sample",NA,8.15123726308781
"PA7_L",20190626,"light",20,-70.6,20.399,35.64,35.95,26.8,2418.26158,"Sample",NA,8.13712004862923
"PA9_L",20190626,"light",20,-72.6,21.038,36.14,36.55,26.8,2316.60103,"Sample",NA,8.16984780536527
"PA10_L",20190626,"light",20,-70.6,21.147,36.32,36.51,26.8,2305.74046,"Sample",NA,8.13532279579585
"PA11_L",20190626,"light",20,-70.3,20.302,36,36.57,26.8,2317.22899,"Sample",NA,8.13219973488713
"PA17_L",20190626,"light",20,-72.5,21.227,36.16,36.6,26.8,2297.32581,"Sample",NA,8.1676576943596
"PA18_L",20190626,"light",20,-70.2,20.834,36,36.54,26.8,2321.2733,"Sample",NA,8.12921966097989
"BLANK1_L",20190626,"light",20,-66.7,20.82,35.7,36.59,26.8,2339.84758,"Blank",NA,8.06924986830521
"BLANK2_L",20190626,"light",20,-67.4,20.195,36.07,36.52,26.8,2338.60643,"Blank",NA,8.08263054355819
"I1",20190626,"light",24,-66.45,23.81,36.3,36.64,26.8,2339.748165,"Initial",NA,8.05835256027918
"PA1_L",20190626,"light",24,-70.2,23.485,36.4,36.81,26.8,2313.8553,"Sample",NA,8.12279768771922
"PA5_L",20190626,"light",24,-72.6,23.577,36.4,36.71,26.8,2294.12394,"Sample",NA,8.16333335512908
"PA7_L",20190626,"light",24,-72,23.643,36.39,36.63,26.8,2297.70547,"Sample",NA,8.15297282109282
"PA9_L",20190626,"light",24,-69,23.907,35.94,36.73,26.8,2290.99514,"Sample",NA,8.10139510669088
"PA10_L",20190626,"light",24,-68.6,23.75,36.4,36.78,26.8,2358.37722,"Sample",NA,8.09498360761836
"PA11_L",20190626,"light",24,-70.4,23.507,36.36,36.82,26.8,2290.49593,"Sample",NA,8.12614111626197
"PA17_L",20190626,"light",24,-71.9,23.95,36.39,36.71,26.8,2269.14792,"Sample",NA,8.15048443335568
"PA18_L",20190626,"light",24,-69.1,23.982,36.35,36.66,26.8,2296.71981,"Sample",NA,8.10291019473354
"BLANK1_L",20190626,"light",24,-64.7,23.754,36.35,36.6,26.8,2349.02787,"Blank",NA,8.02877416075948
"BLANK2_L",20190626,"light",24,-66,23.435,36.12,36.77,26.8,2344.10348,"Blank",NA,8.0515520637627
"I1",20190626,"light",28,-62.4,27.217,36.56333333,36.85,26.8,2354.907963,"Initial",NA,7.98246095925126
"PA1_L",20190626,"light",28,-67.2,26.124,35.9,36.77,26.8,2314.6643,"Sample",NA,8.06564232745236
