"","fragment.ID","site","rate.type","E","Eh","lnc","Th","Topt","site.block","recovery.block","site.letter"
"1","PA1_C","A","C",0.0546515647911296,76.6411166509111,0.141070009103809,310.231544570783,309.449248631164,1,1,"F"
"2","PA1_D","A","R",0.133136669765757,36.3506728253786,0.49916710733856,312.397465836388,311.105482034858,1,1,"F"
"3","PA1_L","A","GP",0.245253272569053,6.12371828341752,0.90469336749521,309.168817638013,304.95277804409,1,1,"F"
"4","PA10_C","B","C",0.13611508009132,2.25760024987435,0.155205226480583,314.429545426766,304.393152686312,1,1,"E"
"5","PA10_D","B","R",0.125434296478475,35.9226789952234,0.339366389481916,312.541342705721,311.221689828972,1,1,"E"
"6","PA10_L","B","GP",0.114040094839426,7.86408700749356,0.653328746188782,309.832724486782,305.456145602033,1,1,"E"
"7","PA11_C","B","C",0.220623957633313,1.66691261823039,0.280590303241796,311.576144867534,302.414211672716,1,1,"E"
"8","PA11_D","B","R",0.135514539740727,33.965019580573,0.309166671958578,312.582496097402,311.21964972897,1,1,"E"
"9","PA11_L","B","GP",0.121104866750147,8.06713202249436,0.660286713444118,309.809367561462,305.577117389018,1,1,"E"
"10","PA12_C","B","C",0.185790575309978,1.97782898505614,0.260041338939874,312.233478429883,302.891503684899,1,2,"E"
"11","PA12_D","B","R",0.119603434592329,7.4102544019211,0.403970567199309,312.410605094831,307.812847403878,1,2,"E"
"12","PA12_L","B","GP",0.301563545067347,2.59598264397794,0.825080685919968,309.979587606737,303.637525679453,1,2,"E"
"13","PA13_C","B","C",0.263998888086037,1.15835849020509,0.41049535499886,310.449485981768,301.938276818868,1,2,"E"
"14","PA13_D","B","R",0.122160667981773,6.66286439869887,0.39214611169519,312.276337704294,307.334032009923,1,2,"E"
"15","PA13_L","B","GP",0.32410486685049,2.21835123391403,0.930877538760164,309.098198687281,302.679797577297,1,2,"E"
"16","PA14_C","B","C",0.365703652054949,1.06296692540694,0.641339983881552,305.302357357184,300.501130795425,1,2,"E"
"17","PA14_D","B","R",0.0708817288324137,11.6663156168654,0.418490014198612,311.326718363957,307.71853674427,1,2,"E"
"18","PA14_L","B","GP",0.21321821842946,3.31881814673265,0.881514592778212,309.741273096076,303.207292186901,1,2,"E"
"19","PA16_C","B","C",0.0687577803965265,6.14146717730296,0.190107577713801,311.195871774676,305.221987115211,1,2,"E"
"20","PA16_D","B","R",0.113237870558265,4.09860893551191,0.372072137341415,313.608999710592,306.412441066291,1,2,"E"
"21","PA16_L","B","GP",0.354029468195345,2.1438205742906,0.933743199519007,307.875876400573,301.821263214172,1,2,"E"
"22","PA17_C","B","C",0.22564321212271,1.68666637242694,0.282942779170449,311.101616532583,302.128680394783,1,1,"E"
"23","PA17_D","B","R",0.109048094044635,34.3626072027817,0.347381875996743,312.73770240092,311.333348667609,1,1,"E"
"24","PA17_L","B","GP",0.155561269321773,7.92081174280378,0.702768663207988,309.880256214451,305.84701625487,1,1,"E"
"25","PA18_C","B","C",0.172722814279359,2.46610953529695,0.200285023310865,311.845507911272,303.295909171041,1,1,"E"
"26","PA18_D","B","R",0.100494794316247,5.97597979196383,0.259358756447038,314.548506671813,308.847422508931,1,1,"E"
"27","PA18_L","B","GP",0.0794189616892343,7.03784858164164,0.585769664010156,309.773060185757,304.60363506101,1,1,"E"
"28","PA19_C","B","C",0.272501174045369,1.55097305869586,0.457104622707497,309.719832637116,301.692277270337,2,2,"D"
"29","PA19_D","B","R",0.17461299245794,1.89382993671208,0.453146962797197,315.502284277085,305.46969585448,2,2,"D"
"30","PA19_L","B","GP",0.297966029925447,3.11628249716872,1.07094917981748,308.527668946786,302.722747329352,2,2,"D"
"31","PA2_C","A","C",0.00168026823762588,57.1066867923009,0.182895725162512,307.994305159582,306.507540493053,1,2,"F"
"32","PA2_D","A","R",0.160077608512499,5.51846939697535,0.520570855781149,312.069482108123,306.8187124851,1,2,"F"
"33","PA2_L","A","GP",0.367733190872893,2.81548328492851,1.07596550604078,308.863561273752,303.424662429518,1,2,"F"
"34","PA20_C","B","C",0.145361269424937,1.95804987509376,0.193934713972293,312.871120614339,302.362319538308,2,2,"D"
"35","PA20_D","B","R",0.17242744651365,1.92584225112423,0.458998524595073,316.181664726042,306.133219922525,2,2,"D"
"36","PA20_L","B","GP",0.198726715328915,3.71773006765374,0.827096926769553,310.120168704496,303.841130462013,2,2,"D"
"37","PA21_C","B","C",0.213445805956746,1.69603337433867,0.330347134794853,310.752491020499,301.522585788137,2,1,"D"
"38","PA21_D","B","R",0.150119134977388,1.55221887229846,0.429554560775328,316.377796745795,304.427330646399,2,1,"D"
"39","PA21_L","B","GP",0.103661895779449,5.55066060274959,0.761155653486845,309.876036102076,304.078855951257,2,1,"D"
"40","PA22_C","B","C",0.16876834118052,1.30016353868697,0.256576000942105,313.603598202757,301.669557366398,2,1,"D"
"41","PA22_D","B","R",0.162206584840445,3.21978045718413,0.384132088551431,314.989484815378,307.37780515548,2,1,"D"
"42","PA22_L","B","GP",0.248634975105426,2.73667629375797,0.736049321577955,310.284277854747,303.453353225104,2,1,"D"
"43","PA23_C","B","C",0.348508516044126,1.18769012581934,0.509592356705065,307.439162962306,301.526791553493,2,2,"D"
"44","PA23_D","B","R",0.167880634422349,1.94300725580271,0.42773906760051,316.39804734289,306.259655500022,2,2,"D"
"45","PA23_L","B","GP",0.270929468324728,3.67786549867714,0.896276860817429,309.560146511262,303.976594207042,2,2,"D"
"46","PA25_C","B","C",0.0688540354599999,79.1177454837161,0.180826849033323,310.271310287955,309.534058611369,2,2,"D"
"47","PA25_D","B","R",0.170649708306266,1.9944883975905,0.478174199139913,315.58071656179,305.702776744481,2,2,"D"
"48","PA25_L","B","GP",0.195297938284189,4.48074728092088,0.82168267483159,310.035345100034,304.427536889316,2,2,"D"
"49","PA26_C","B","C",0.179524511816317,2.14192727478355,0.172627320558041,312.701080952775,303.564701474754,2,1,"D"
"50","PA26_D","B","R",0.131890519979457,1.89594440551098,0.382823548238279,317.480160039575,306.024412471629,2,1,"D"
"51","PA26_L","B","GP",0.183422443810494,4.59073480584305,0.639497653058515,310.249235783263,304.607686710092,2,1,"D"
"52","PA27_C","B","C",0.15796187730422,4.41709533095896,0.226226236211629,311.35877411157,305.2483669473,2,1,"D"
"53","PA27_D","B","R",0.155734017353821,2.2433630351168,0.376739600429901,316.952522557917,307.24019054486,2,1,"D"
"54","PA27_L","B","GP",0.348152581098975,2.58288052281438,0.843717481419944,309.168342104721,303.348991026938,2,1,"D"
"55","PA29_C","A","C",0.331592752267947,1.91833580453692,0.508471748826223,308.374413199008,301.826837045335,2,2,"C"
"56","PA29_D","A","R",0.242761762728549,1.98729342453935,0.461237307220086,314.405196644289,306.17062819498,2,2,"C"
"57","PA29_L","A","GP",0.391124776110096,2.54940293397116,1.19144595231817,308.116568971831,302.729695835982,2,2,"C"
"58","PA3_C","A","C",0.215098218268064,1.72527186357924,0.314439906660464,310.87784910327,301.743784319397,1,2,"F"
"59","PA3_D","A","R",0.142813257510845,87.1685608908665,0.609075459154476,310.366307489101,309.756679784015,1,2,"F"
"60","PA3_L","A","GP",0.388450736207571,3.66735262037902,1.09826142329596,308.763816134694,304.056792149659,1,2,"F"
"61","PA30_C","A","C",0.12262255989136,10.2483714451406,0.194870569147395,310.653983164892,307.112121092524,2,1,"C"
"62","PA30_D","A","R",0.159927417188959,2.2365085282339,0.386416089108487,316.734057318945,307.121933806287,2,1,"C"
"63","PA30_L","A","GP",0.232223847800341,4.3005253288531,1.00706147255328,309.079961730311,303.692863739491,2,1,"C"
"64","PA31_C","A","C",0.477152275707195,1.20300456813768,0.705456095063486,303.815666728123,301.066156717639,2,2,"C"
"65","PA31_D","A","R",0.202017112413637,1.71914101438141,0.46917725411292,315.927468011711,306.149372392003,2,2,"C"
"66","PA31_L","A","GP",0.358967821931595,2.55384805901915,1.09315998110036,308.654805875786,302.940324111978,2,2,"C"
"67","PA32_C","A","C",0.159096177904338,2.18863124027877,0.375079044049094,313.780170201713,304.20825979623,2,2,"C"
"68","PA32_D","A","R",0.254999428058886,1.47838688889192,0.668186891261482,314.014949452199,305.250895111811,2,2,"C"
"69","PA32_L","A","GP",0.233616323198653,2.54228287423989,1.13431922798985,309.416978004774,302.155339845741,2,2,"C"
"70","PA33_C","A","C",0.254605994081712,1.22858550513095,0.324361887987721,311.02957648167,302.18210834689,2,1,"C"
"71","PA33_D","A","R",0.10189472932069,2.43321715972697,0.32175967876633,317.82463019586,307.004371802195,2,1,"C"
"72","PA33_L","A","GP",0.231770680795819,3.02744769592529,0.77062813473633,310.160992689741,303.487215618658,2,1,"C"
"73","PA34_C","A","C",0.493720012427707,1.5204277486508,0.58840961209761,305.585834374065,301.758201352595,2,1,"C"
"74","PA34_D","A","R",0.117530544468079,2.15870589336413,0.316305215123967,318.060798706658,306.932977628645,2,1,"C"
"75","PA34_L","A","GP",0.296231126113021,2.70651679984269,1.0316281022613,308.335330610441,302.11577695352,2,1,"C"
"76","PA35_C","A","C",0.507317992187261,1.04207622173483,0.842841976811123,301.994355392923,301.597480983163,2,2,"C"
"77","PA35_D","A","R",0.171760433678587,1.4156273244775,0.45502304942501,317.849226254302,306.118943738071,2,2,"C"
"78","PA35_L","A","GP",0.241582017563909,2.52119591878852,1.05603861262021,309.230778600612,302.062579705222,2,2,"C"
"79","PA36_C","A","C",0.395228148420495,1.31427201536243,0.466024918809465,306.846632877376,301.722423755571,2,1,"C"
"80","PA36_D","A","R",0.148350254224272,2.2128497756988,0.343328235482812,316.397897868909,306.452680790477,2,1,"C"
"81","PA36_L","A","GP",0.237130163961777,2.7905000969196,0.792382429301331,309.866440090701,302.974295919622,2,1,"C"
"82","PA37_C","A","C",0.59496529652998,1.27595221126281,0.81520562142425,301.934625928676,301.105221149538,3,1,"B"
"83","PA37_D","A","R",0.185161880553301,2.15734416226772,0.549741772464173,315.31094765796,306.185282521881,3,1,"B"
"84","PA37_L","A","GP",0.464178701844904,3.30341004490488,1.21787884321717,307.547331267873,303.141527080822,3,1,"B"
"85","PA38_C","A","C",0.279179471986095,2.23445009728616,0.444761577933856,309.512011291944,302.482060057232,3,2,"B"
"86","PA38_D","A","R",0.166783020728427,2.4063094525366,0.38687212877685,316.55932949905,307.502300845587,3,2,"B"
"87","PA38_L","A","GP",0.375198513208909,3.57300435636939,1.04521504135217,308.575343342351,303.730300851774,3,2,"B"
"88","PA39_C","A","C",1.8926581648524,2.06342048551158,2.96557584195763,290.113402091504,298.825112628159,3,1,"B"
"89","PA39_D","A","R",0.150068536409655,3.04454468961571,0.475191802324395,316.435970660324,308.262527574347,3,1,"B"
"90","PA39_L","A","GP",0.483078357806269,2.34628637146222,1.27311141812183,306.474452627613,301.886091893737,3,1,"B"
"91","PA4_C","A","C",0.219474904862918,1.23200549378975,0.349191130833934,311.616441093122,301.563508552578,1,2,"F"
"92","PA4_D","A","R",0.0866010874005669,4.548940495516,0.371015716903634,313.518786860161,306.344155587885,1,2,"F"
"93","PA4_L","A","GP",0.270069855890113,2.8509841749307,0.944991722455594,308.963441375724,302.583188090085,1,2,"F"
"94","PA40_C","A","C",0.0982464781776922,6.28183797701014,0.199064177368843,311.450273032332,306.032690602781,3,2,"B"
"95","PA40_D","A","R",0.129384096288298,2.37692942269543,0.374259087314679,318.268028710928,308.115493459318,3,2,"B"
"96","PA40_L","A","GP",0.491887406966359,2.64596057507155,1.09949905428517,307.454287904732,302.97252594224,3,2,"B"
"97","PA41_C","A","C",0.572220654242186,0.998316570408521,0.963130669825359,298.453802668047,300.7389909938,3,1,"B"
"98","PA41_D","A","R",0.156288745480141,2.24517288183221,0.374237790981354,318.421531053245,308.638816581187,3,1,"B"
"99","PA41_L","A","GP",0.447722238152418,2.94942239222063,1.05836388138118,308.045182936023,303.346334123806,3,1,"B"
"100","PA42_C","A","C",0.481157661934248,1.3568106425089,0.634612385551161,304.739451168434,301.247217310341,3,1,"B"
"101","PA42_D","A","R",0.141632314312645,2.40643955229876,0.491676166747683,316.710570077479,307.054396407525,3,1,"B"
"102","PA42_L","A","GP",0.298624311574501,3.33136809803443,1.06011511738217,308.593282437786,302.985219650679,3,1,"B"
"103","PA43_C","A","C",0.284631599663294,2.33546649834582,0.44424640814464,309.627241291949,302.793725278198,3,2,"B"
"104","PA43_D","A","R",0.122393742855355,2.66216904685221,0.426760680884437,317.406249999004,307.81253584631,3,2,"B"
"105","PA43_L","A","GP",0.305932012777176,3.97505406436113,1.05305179716998,309.147359975235,304.082894344639,3,2,"B"
"106","PA45_C","A","C",0.925035322239422,1.435705340146,1.28199769169539,297.154620912798,300.338088775026,3,2,"B"
"107","PA45_D","A","R",0.152107789042132,2.25452621164796,0.448365602447444,317.457517129222,307.6506085274,3,2,"B"
"108","PA45_L","A","GP",0.436247448283335,2.6805336816213,1.1789914392192,307.708176425593,302.800479052818,3,2,"B"
"109","PA46_C","B","C",0.345745474194347,1.59201013572815,0.608808758242311,307.08635672809,300.676066719034,3,1,"A"
"110","PA46_D","B","R",0.131863183864116,4.34502157387387,0.349611209840556,316.285524462707,309.556715435311,3,1,"A"
"111","PA46_L","B","GP",0.422131190896453,2.61823754402697,1.18450067875383,307.58796703005,302.535568490559,3,1,"A"
"112","PA48_C","B","C",0.13066365939028,6.67334276481909,0.250221929582915,310.920077739913,306.108902476378,3,2,"A"
"113","PA48_D","B","R",0.126241034350444,3.06123716699282,0.422626763829081,316.893677233666,308.239846320232,3,2,"A"
"114","PA48_L","B","GP",0.457568244543873,2.7786334228849,1.01496104118572,308.179848616056,303.468542824469,3,2,"A"
"115","PA49_C","B","C",0.0963344109531373,4.57004816526635,0.172523288824228,312.160691798149,305.262116696658,3,1,"A"
"116","PA49_D","B","R",0.111412271765575,4.02926560801463,0.291286550811439,316.93620689314,309.466150163549,3,1,"A"
"117","PA49_L","B","GP",0.275506479350092,2.536692280406,0.813349989971554,309.609033360499,302.900733936338,3,1,"A"
"118","PA5_C","A","C",0.106214499406043,8.2204732823649,0.122335451097309,311.399866888089,307.052537292509,1,1,"F"
"119","PA5_D","A","R",0.110691768690501,36.5488788879476,0.415965313669584,312.460715416781,311.131645343221,1,1,"F"
"120","PA5_L","A","GP",0.178319426267445,10.5700105597289,0.841440373560298,309.315812157156,306.176130256868,1,1,"F"
"121","PA50_C","B","C",0.271326689059975,1.63764949192643,0.349041953423674,310.380252388925,302.393983056213,3,1,"A"
"122","PA50_D","B","R",0.0939260152591046,2.57207707658476,0.228449401274632,319.108445301708,308.317151638824,3,1,"A"
"123","PA50_L","B","GP",0.342421123834769,2.55096238489872,0.764025956631138,308.871156296842,302.976663910035,3,1,"A"
"124","PA51_C","B","C",0.395119569089159,1.43480759034823,0.401367178556976,308.245029654869,302.819539755527,3,2,"A"
"125","PA51_D","B","R",0.0746511519340196,4.85446543350993,0.263791011894006,317.626614653332,310.346256668793,3,2,"A"
"126","PA51_L","B","GP",0.36112598948741,2.70388244420742,0.77961745940587,309.072523314609,303.481132450452,3,2,"A"
"127","PA52_C","B","C",0.451546551241113,2.07443382110775,0.437277162278892,308.000116290914,303.03849955824,3,2,"A"
"128","PA52_D","B","R",0.122119253281933,2.70908017289756,0.341100608796368,317.258976185901,307.772811350747,3,2,"A"
"129","PA52_L","B","GP",0.423637172774985,2.8598471234674,1.07450589681251,308.203587300122,303.275157276731,3,2,"A"
"130","PA53_C","B","C",0.32176195072847,1.70410538218495,0.425723402181241,308.921833405577,302.041628445538,3,1,"A"
"131","PA53_D","B","R",0.128199761547307,2.22106933646902,0.417802749668199,317.379530582762,306.824989760565,3,1,"A"
"132","PA53_L","B","GP",0.401822918096393,2.7425803261423,1.01047367763516,308.43493478042,303.254356521517,3,1,"A"
"133","PA54_C","B","C",1.56105218315337,1.91724855174255,1.6407913522318,295.670704870925,301.594877949407,3,2,"A"
"134","PA54_D","B","R",0.143993494547462,2.50480491639807,0.346679181776577,317.260154662223,307.858771976503,3,2,"A"
"135","PA54_L","B","GP",0.495241340333217,2.40607551481408,1.09155887348972,307.269543361161,302.76922302064,3,2,"A"
"136","PA7_C","A","C",0.948822942509687,1.2726067600551,1.46083469099649,294.153742221665,300.592969265708,1,1,"F"
