fragment.ID,site.block,recovery.block,site,site.letter
PA46_C,3,1,B,A
PA46_D,3,1,B,A
PA46_L,3,1,B,A
PA48_C,3,2,B,A
PA48_D,3,2,B,A
PA48_L,3,2,B,A
PA49_C,3,1,B,A
PA49_D,3,1,B,A
PA49_L,3,1,B,A
PA50_C,3,1,B,A
PA50_D,3,1,B,A
PA50_L,3,1,B,A
PA51_C,3,2,B,A
PA51_D,3,2,B,A
PA51_L,3,2,B,A
PA52_C,3,2,B,A
PA52_D,3,2,B,A
PA52_L,3,2,B,A
PA53_C,3,1,B,A
PA53_D,3,1,B,A
PA53_L,3,1,B,A
PA54_C,3,2,B,A
PA54_D,3,2,B,A
PA54_L,3,2,B,A
PA37_C,3,1,A,B
PA37_D,3,1,A,B
PA37_L,3,1,A,B
PA38_C,3,2,A,B
PA38_D,3,2,A,B
PA38_L,3,2,A,B
PA39_C,3,1,A,B
PA39_D,3,1,A,B
PA39_L,3,1,A,B
PA40_C,3,2,A,B
PA40_D,3,2,A,B
PA40_L,3,2,A,B
PA41_C,3,1,A,B
PA41_D,3,1,A,B
PA41_L,3,1,A,B
PA42_C,3,1,A,B
PA42_D,3,1,A,B
PA42_L,3,1,A,B
PA43_C,3,2,A,B
PA43_D,3,2,A,B
PA43_L,3,2,A,B
PA45_C,3,2,A,B
PA45_D,3,2,A,B
PA45_L,3,2,A,B
PA29_C,2,2,A,C
PA29_D,2,2,A,C
PA29_L,2,2,A,C
PA30_C,2,1,A,C
PA30_D,2,1,A,C
PA30_L,2,1,A,C
PA31_C,2,2,A,C
PA31_D,2,2,A,C
PA31_L,2,2,A,C
PA32_C,2,2,A,C
PA32_D,2,2,A,C
PA32_L,2,2,A,C
PA33_C,2,1,A,C
PA33_D,2,1,A,C
PA33_L,2,1,A,C
PA34_C,2,1,A,C
PA34_D,2,1,A,C
PA34_L,2,1,A,C
PA35_C,2,2,A,C
PA35_D,2,2,A,C
PA35_L,2,2,A,C
PA36_C,2,1,A,C
PA36_D,2,1,A,C
PA36_L,2,1,A,C
PA19_C,2,2,B,D
PA19_D,2,2,B,D
PA19_L,2,2,B,D
PA20_C,2,2,B,D
PA20_D,2,2,B,D
PA20_L,2,2,B,D
PA21_C,2,1,B,D
PA21_D,2,1,B,D
PA21_L,2,1,B,D
PA22_C,2,1,B,D
PA22_D,2,1,B,D
PA22_L,2,1,B,D
PA23_C,2,2,B,D
PA23_D,2,2,B,D
PA23_L,2,2,B,D
PA25_C,2,2,B,D
PA25_D,2,2,B,D
PA25_L,2,2,B,D
PA26_C,2,1,B,D
PA26_D,2,1,B,D
PA26_L,2,1,B,D
PA27_C,2,1,B,D
PA27_D,2,1,B,D
PA27_L,2,1,B,D
PA10_C,1,1,B,E
PA10_D,1,1,B,E
PA10_L,1,1,B,E
PA11_C,1,1,B,E
PA11_D,1,1,B,E
PA11_L,1,1,B,E
PA12_C,1,2,B,E
PA12_D,1,2,B,E
PA12_L,1,2,B,E
PA13_C,1,2,B,E
PA13_D,1,2,B,E
PA13_L,1,2,B,E
PA14_C,1,2,B,E
PA14_D,1,2,B,E
PA14_L,1,2,B,E
PA16_C,1,2,B,E
PA16_D,1,2,B,E
PA16_L,1,2,B,E
PA17_C,1,1,B,E
PA17_D,1,1,B,E
PA17_L,1,1,B,E
PA18_C,1,1,B,E
PA18_D,1,1,B,E
PA18_L,1,1,B,E
PA1_C,1,1,A,F
PA1_D,1,1,A,F
PA1_L,1,1,A,F
PA2_C,1,2,A,F
PA2_D,1,2,A,F
PA2_L,1,2,A,F
PA3_C,1,2,A,F
PA3_D,1,2,A,F
PA3_L,1,2,A,F
PA4_C,1,2,A,F
PA4_D,1,2,A,F
PA4_L,1,2,A,F
PA5_C,1,1,A,F
PA5_D,1,1,A,F
PA5_L,1,1,A,F
PA7_C,1,1,A,F
PA7_D,1,1,A,F
PA7_L,1,1,A,F
PA8_C,1,2,A,F
PA8_D,1,2,A,F
PA8_L,1,2,A,F
PA9_C,1,1,A,F
PA9_D,1,1,A,F
PA9_L,1,1,A,F
